Player,Season,Pos,Ht_in,MP_adv,ORtg,DRtg,OBPM,DBPM,BPM,TS%,eFG%,USG%,AST%,TOV%,ORB%,DRB%,STL%,BLK%
Buddy Boeheim,2021,F,,905,112.8,107.9,4.6,0.5,5.1,0.559,0.536,24.4,14.7,9.1,1.8,6.1,2.1,0.1
Quincy Guerrier,2021,F,,921,117.5,101.2,3.1,0.7,3.9,0.557,0.532,20.5,5.0,8.0,9.5,18.3,1.4,4.1
Alan Griffin,2021,F,,819,107.6,99.8,4.5,2.6,7.2,0.558,0.523,24.2,12.2,14.8,6.2,15.3,2.3,6.6
Joseph Girard III,2021,F,,776,97.1,103.8,0.8,1.4,2.2,0.483,0.452,22.3,23.5,17.3,0.9,10.3,2.9,0.3
Marek Dolezaj,2021,F,,981,123.5,104.7,2.0,2.6,4.6,0.622,0.544,13.8,16.4,17.9,5.1,10.8,1.9,2.9
Kadary Richmond,2021,F,,589,105.9,99.1,1.7,4.6,6.2,0.527,0.478,18.2,26.4,20.8,3.5,10.1,4.5,2.8
Robert Braswell,2021,F,,290,106.6,103.5,0.5,1.6,2.2,0.514,0.475,16.7,1.8,8.4,4.3,12.4,2.0,2.8
Woody Newton,2021,F,,87,110.0,97.9,1.4,2.2,3.6,0.597,0.589,20.8,2.2,11.2,2.6,22.0,2.0,4.0
Jesse Edwards,2021,F,,160,109.2,97.2,-2.1,2.6,0.5,0.521,0.462,12.2,0.0,15.5,11.4,20.6,2.2,5.8
Bourama Sidibe,2021,F,,15,95.6,112.0,-7.6,-0.5,-8.1,0.526,,13.0,0.0,26.0,7.6,0.0,0.0,7.8
Frank Anselem,2021,F,,26,102.6,102.2,-5.0,3.0,-2.0,0.889,1.0,12.4,0.0,47.1,8.7,12.2,2.2,4.5
John Bol Ajak,2021,F,,51,81.6,109.0,-4.1,2.6,-1.5,0.25,0.25,5.0,6.1,20.0,4.5,4.2,1.1,4.6
Chaz Owens,2021,F,,2,,116.3,-0.6,-0.2,-0.7,,,0.0,0.0,,0.0,0.0,0.0,0.0
Chris Lavalle,2021,F,,1,,116.3,-3.7,-0.3,-3.9,,,0.0,0.0,,0.0,0.0,0.0,0.0
Nick Giancola,2021,F,,1,,60.1,-0.9,6.6,5.7,,,0.0,0.0,,0.0,100.0,0.0,0.0
Shane Feldman,2021,F,,1,,116.3,-3.7,-0.3,-3.9,,,0.0,0.0,,0.0,0.0,0.0,0.0
Buddy Boeheim,2022,F,,1217,111.4,112.4,4.2,0.0,4.2,0.531,0.49,26.4,15.9,9.0,1.7,8.0,2.3,0.3
Cole Swider,2022,F,,1140,116.3,108.7,4.0,0.5,4.6,0.58,0.551,19.6,7.3,10.2,3.9,17.3,1.6,1.3
Joseph Girard III,2022,F,,1126,107.4,111.5,3.1,0.2,3.2,0.56,0.515,22.4,22.1,18.5,1.1,7.7,2.7,0.1
Jimmy Boeheim,2022,F,,1146,112.0,111.7,3.2,-0.4,2.8,0.532,0.513,20.7,8.6,9.2,6.4,13.1,1.5,0.3
Jesse Edwards,2022,F,,673,131.3,102.7,3.9,3.6,7.4,0.68,0.695,18.2,7.3,12.4,9.9,15.5,2.3,12.5
Bourama Sidibe,2022,F,,153,129.7,102.2,0.4,4.1,4.4,0.658,0.652,11.8,5.6,16.8,11.8,14.1,3.4,9.0
Symir Torrence,2022,F,,392,106.2,112.2,0.7,-0.1,0.6,0.445,0.435,14.5,37.5,23.1,3.4,9.6,1.9,0.6
